Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
12-Mar-2021,07:41,08:01,Baker Street [London Underground] to Victoria [London Underground],2.40,,17.60,
12-Mar-2021,08:12,08:27,Victoria [London Underground] to Oxford Circus [London Underground],2.50,,15.10,
12-Mar-2021,18:05,,"Bus journey, route 73",1.55,,13.55,
12-Mar-2021,18:37,18:55,Oxford Circus [London Underground] to Waterloo [London Underground],0.00,,13.55,Daily cap applied
13-Mar-2021,00:42,,"Bus journey, route N5",1.75,,11.80,
13-Mar-2021,10:18,,Auto top-up,,20.00,31.80,Auto top-up
13-Mar-2021,12:14,12:33,Waterloo (National Rail) to Stratford [National Rail],2.80,,29.00,
13-Mar-2021,13:02,13:19,Stratford [London Underground] to Green Park [London Underground],2.80,,26.20,
15-Mar-2021,07:56,08:13,Green Park [London Underground] to King's Cross St. Pancras [London Underground],2.60,,23.60,
15-Mar-2021,08:28,08:41,King's Cross St. Pancras [London Underground] to Euston [London Underground],0.00,,23.60,Journey continuation
15-Mar-2021,13:11,,Fare adjustment,,1.20,24.80,Fare adjustment
15-Mar-2021,18:44,,"Bus journey, route 205",1.55,,23.25,
17-Mar-2021,07:38,07:56,Euston [London Underground] to Paddington [London Underground],2.70,,20.55,
17-Mar-2021,08:09,08:21,Paddington [London Underground] to Baker Street [London Underground],2.40,,18.15,
17-Mar-2021,17:54,18:12,Baker Street [London Underground] to Holborn [London Underground],2.50,,15.65,
17-Mar-2021,23:11,,"Bus journey, route N5",1.75,,13.90,
18-Mar-2021,08:03,08:19,Holborn [London Underground] to Bank [London Underground],2.50,,11.40,
18-Mar-2021,08:29,08:46,Bank [London Underground] to London Bridge [London Underground],2.40,,9.00,
18-Mar-2021,12:36,,Auto top-up,,10.00,19.00,Auto top-up
18-Mar-2021,18:07,18:25,London Bridge [London Underground] to Canary Wharf [London Underground],2.60,,16.40,
